ID_Transacao,Data,Valor,ID_Cliente,Anomalia
97931,2024-02-06T10:46:15.791Z,78634.32270339872,6713,true
84867,2024-06-22T20:25:29.881Z,71638.93639224237,6616,true
13142,2024-10-22T07:47:56.616Z,78640.6809606258,2044,true
92632,2024-05-30T03:44:31.576Z,90982.47547647954,8579,true
30368,2023-12-18T06:00:38.331Z,51229.58177806835,6761,true
78466,2023-07-22T17:53:41.033Z,50642.30438673064,8742,true
27049,2024-07-09T02:31:20.031Z,65054.966000156295,9168,true
14814,2024-08-30T20:26:05.782Z,73864.03586290959,5080,true
56627,2023-04-01T20:54:02.266Z,83933.09616776524,7127,true
46609,2024-05-11T08:11:12.790Z,73660.4551133384,1940,true
94881,2024-04-20T04:44:47.576Z,67254.59217107549,5621,true
80945,2024-06-12T08:43:51.878Z,70464.30567600857,1543,true
92562,2023-05-17T19:34:08.660Z,83451.63978760524,3924,true
88908,2024-08-22T03:50:29.074Z,81274.18774941294,3691,true
62074,2023-07-24T07:28:24.749Z,63081.76962571079,9672,true
61131,2024-12-12T11:53:51.635Z,98932.20803261577,5686,true
29895,2023-11-28T03:36:00.257Z,91674.94527697761,6825,true
98974,2023-12-15T15:14:41.809Z,50541.18266557245,4009,true
71074,2024-04-11T20:57:48.378Z,83957.35117531732,5978,true
29706,2024-10-08T14:12:26.288Z,55492.045958134346,8613,true
95333,2024-01-12T14:59:34.318Z,70883.18572293014,4753,true
75575,2023-01-16T09:26:45.547Z,85529.63873026521,1971,true
64038,2023-02-24T01:05:45.749Z,75409.06147945636,6004,true
72287,2023-09-22T02:55:34.061Z,64255.515680571305,5210,true
81903,2023-02-17T18:50:29.982Z,55432.645119576926,3836,true
89971,2023-01-02T17:03:39.510Z,81701.62228437669,9445,true
52669,2023-03-20T18:07:11.250Z,89000.94800986719,5457,true
66967,2024-09-12T22:13:40.253Z,52579.74421005413,4996,true
70809,2023-12-29T01:49:12.232Z,58178.05827382278,8001,true
59511,2024-05-22T13:34:19.126Z,65463.675471545204,9927,true
10937,2024-01-26T04:28:31.793Z,54660.329448183504,9480,true
90389,2024-10-15T09:43:13.778Z,84411.26744461645,6646,true
60499,2023-01-07T02:20:55.939Z,70263.13555834182,7189,true
75034,2024-08-26T12:14:05.560Z,89705.77536118754,7580,true
25459,2024-03-09T20:37:27.937Z,58604.49877095411,2281,true
92911,2023-09-04T19:41:32.369Z,91524.77787125125,8873,true
70058,2024-01-20T05:03:33.388Z,71159.29041549505,1326,true
37147,2023-03-29T20:30:43.789Z,64881.786011378696,2157,true
98903,2024-03-30T09:02:29.515Z,77478.61796521292,7215,true
58647,2023-04-20T03:47:26.599Z,68552.8500716768,7571,true
48128,2023-12-27T15:39:03.618Z,53422.05970389664,1105,true
83212,2024-06-21T07:29:25.340Z,99109.65727660406,4964,true
98073,2023-05-21T08:44:59.810Z,69173.53209997475,4491,true
95996,2024-04-09T05:24:19.789Z,75397.40235558205,2834,true
31192,2023-08-24T21:13:22.423Z,69136.36242326794,7077,true
19277,2023-07-05T18:16:46.791Z,88068.56273604394,1786,true
26097,2024-05-01T23:25:35.315Z,73452.91366441827,2524,true
89663,2024-11-10T01:03:38.326Z,58005.82977681378,9515,true
17046,2023-01-26T12:09:40.311Z,81254.4107295161,9668,true
76503,2023-09-29T17:30:36.347Z,59879.79662543663,2607,true
75857,2024-05-11T09:09:41.425Z,70824.57507116179,9620,true
51292,2024-03-09T01:56:32.151Z,84338.92611264485,6696,true
92582,2023-01-14T00:41:31.017Z,62113.54397126009,3597,true
49445,2024-09-20T23:34:29.162Z,82039.54884757042,3978,true
23685,2023-05-01T09:08:30.581Z,63345.03725570741,3828,true
24562,2023-05-13T09:55:32.115Z,52817.23543654656,1782,true
45969,2023-04-02T00:41:02.141Z,64129.01684338867,8632,true
47996,2023-03-05T05:50:33.409Z,95288.56472238216,4153,true
96843,2023-02-05T06:19:15.241Z,65596.5154383936,4453,true
19253,2023-02-17T04:20:26.841Z,92188.47121893964,3322,true
44666,2023-05-26T14:59:12.056Z,92881.80596021484,4686,true
12529,2023-08-08T13:42:12.581Z,71118.97605266534,2389,true
14843,2024-05-13T08:21:59.480Z,56452.02303222103,1810,true
51348,2024-03-02T17:56:53.100Z,68246.59620547964,9168,true
55931,2023-07-03T18:03:43.544Z,75921.88982726212,4859,true
13496,2023-11-03T23:42:11.553Z,60565.93612252315,8824,true
17757,2024-07-02T09:06:05.306Z,73351.9473074911,3004,true
17704,2023-04-02T00:20:21.452Z,96477.9842746623,6892,true
16250,2024-04-07T21:57:40.689Z,75607.86488951786,2381,true
54230,2024-10-24T00:13:05.696Z,96107.39818905226,5762,true
44473,2024-12-23T00:27:35.964Z,50662.846978289694,9626,true
96117,2023-12-20T19:21:13.807Z,52093.70038924464,3148,true
96141,2023-08-01T13:12:35.087Z,78031.02307755126,8755,true
91350,2023-07-03T17:19:40.981Z,63605.99149175185,8151,true
68939,2024-08-28T08:21:16.762Z,99986.35389067556,2794,true
57200,2023-12-09T01:32:01.484Z,95684.79616768227,4839,true
56915,2023-03-03T10:09:00.772Z,50024.086688011535,4273,true
34446,2024-04-18T04:21:07.654Z,50652.84718188981,8643,true
55404,2023-08-05T22:00:56.058Z,90778.61024881022,2837,true
52755,2024-08-16T16:28:22.749Z,71818.67368867161,4213,true
84799,2023-09-01T09:21:34.887Z,53586.847416894016,9995,true
65166,2024-12-20T15:24:35.193Z,73572.04545684802,7657,true
25817,2024-10-15T20:17:13.529Z,62400.74826989138,9937,true
65567,2023-05-14T06:21:45.641Z,66591.2420278741,7747,true
27424,2024-02-24T18:05:06.925Z,57646.29988786623,9878,true
11410,2023-10-15T10:43:43.345Z,50041.293138577304,8387,true
71880,2024-01-21T19:23:57.227Z,68768.2167366748,2982,true
41439,2023-02-05T21:10:29.332Z,57961.22149151415,4115,true
34303,2023-08-19T16:34:47.425Z,52242.2563444754,2061,true
95808,2024-02-10T11:00:15.271Z,99467.16662245526,1162,true
21095,2024-11-19T03:14:31.195Z,74562.26543475626,4848,true
69912,2023-02-28T12:17:35.872Z,68254.95922740534,3226,true
44273,2024-02-16T21:32:44.632Z,97069.18096794405,3118,true
50273,2024-12-21T22:20:02.138Z,55271.2726190194,1750,true
92364,2024-05-15T19:27:29.119Z,87305.2449866996,5849,true
24869,2023-11-16T22:32:38.731Z,80052.62029626856,4311,true
93896,2023-01-28T20:50:04.233Z,51104.454317151,3997,true
21389,2023-04-13T09:29:41.917Z,99587.90594502533,4273,true
31303,2023-07-15T16:23:43.095Z,81859.16960136541,6976,true
30807,2024-01-13T02:02:24.662Z,69268.70560032695,4670,true
59045,2024-10-29T07:53:25.614Z,61391.45156821162,1474,true
22124,2023-09-11T10:00:10.428Z,87103.14585405547,6958,true
48783,2023-06-13T14:55:24.654Z,89681.84850704506,7420,true
30717,2023-04-27T17:14:05.280Z,56091.19206605334,5447,true
64673,2024-11-14T11:26:08.992Z,59580.54545866859,3333,true
82277,2023-07-04T03:14:15.694Z,60737.71481616783,9119,true
51343,2024-12-01T01:50:46.518Z,72125.9817750488,5185,true
60551,2024-08-15T03:59:29.187Z,66699.99003043822,4071,true
71509,2023-06-12T20:04:02.960Z,64840.33329788387,1678,true
83825,2023-12-14T21:55:18.613Z,68356.15210991402,8484,true
77648,2024-09-20T22:23:59.273Z,92242.50279101328,8413,true
77179,2023-08-19T03:28:33.658Z,78155.69350518816,5373,true
87040,2024-01-13T06:09:57.272Z,86586.09733755633,3830,true
56392,2023-01-31T03:05:27.030Z,85411.70711272964,8625,true
99318,2024-05-04T14:28:05.707Z,60949.417080956206,3541,true
93990,2024-04-19T12:11:19.591Z,71415.32507859386,3917,true
37329,2024-09-12T16:53:12.002Z,92791.99628424109,1353,true
85781,2023-11-19T19:07:38.857Z,91822.9581395486,1555,true
53817,2023-10-07T16:35:14.313Z,95603.80579235255,3605,true
43448,2023-01-19T22:07:34.129Z,85227.47573111302,4315,true
41734,2024-03-21T23:33:48.917Z,87579.6865080531,1008,true
96263,2024-04-08T18:54:01.221Z,91059.01939251856,6167,true
95691,2023-08-31T05:35:20.896Z,57867.148543619915,2948,true
81868,2024-10-28T05:20:30.848Z,78843.28377393426,3955,true
99269,2023-01-06T15:11:48.802Z,57132.96749824663,4900,true
58574,2024-01-29T15:50:42.204Z,64092.0152368651,5538,true
72175,2023-03-02T18:28:35.402Z,51179.97957937851,5807,true
68284,2023-07-13T02:09:19.933Z,85900.78963224596,6911,true
82653,2023-10-20T23:46:31.224Z,69285.01722230432,7475,true
71959,2023-10-18T15:12:49.697Z,62852.12704784554,4813,true
31007,2023-07-28T18:48:44.351Z,64587.45617928135,1787,true
17159,2023-05-31T15:55:07.419Z,69304.11891633586,8864,true
68092,2024-02-03T20:17:33.500Z,83791.654917135,5277,true
31637,2024-01-20T08:38:50.762Z,59108.881498279516,3047,true
75135,2024-10-29T21:34:03.454Z,83282.09972861971,4665,true
46512,2023-02-05T09:26:08.334Z,92967.31600855343,5815,true
38596,2023-12-18T21:58:16.270Z,85293.44570937709,9813,true
65038,2024-10-14T21:22:19.399Z,88811.10795204161,9087,true
95913,2024-11-12T12:51:22.382Z,70446.87978270062,9975,true
36306,2024-01-18T13:40:19.175Z,73931.92522161042,3910,true
65035,2024-05-28T23:21:02.051Z,98779.66102097742,9271,true
87599,2023-09-07T17:50:14.476Z,69766.95831932528,1470,true
54572,2024-09-10T05:16:46.268Z,81283.12863906399,9839,true
56892,2023-05-15T07:37:10.739Z,94735.48205271995,2871,true
66542,2024-08-08T16:43:41.610Z,55524.43945170027,5243,true
11411,2023-02-28T17:38:13.182Z,69100.81502741677,3534,true
44514,2024-02-11T03:37:11.089Z,61111.48526551544,2294,true
66288,2024-05-20T21:03:28.526Z,50459.149083186756,5995,true
96888,2023-03-17T07:12:03.710Z,89450.77586896448,2221,true
60669,2023-07-29T14:52:34.768Z,64541.97812260461,5961,true
97279,2024-10-02T02:50:22.488Z,68492.38375046977,6752,true
11520,2023-01-30T10:45:58.358Z,83986.77037890314,2207,true
22973,2024-05-04T10:46:50.905Z,92594.48204020047,1055,true
31669,2023-11-27T11:59:03.483Z,86771.91301278866,5289,true
97812,2024-08-02T22:25:05.859Z,80951.25431069506,4485,true
93439,2023-10-14T10:33:52.804Z,56242.521637598606,5244,true
20806,2024-03-18T10:04:21.922Z,94035.23294970006,2003,true
39558,2024-03-13T15:30:59.809Z,57432.9852638523,5142,true
81814,2023-10-01T09:21:42.991Z,73984.25373019674,8046,true
12115,2024-01-26T13:20:07.402Z,81030.8299093642,1403,true
96262,2023-03-20T23:06:26.917Z,78640.66246415567,9654,true
11579,2024-01-15T20:32:08.606Z,98665.41265776599,6373,true
63661,2024-08-18T00:11:25.263Z,94204.38914131932,1223,true
85404,2023-09-20T13:23:47.725Z,99243.05406992749,1400,true
71435,2023-05-20T22:03:00.364Z,65353.39004406374,2336,true
47075,2023-02-01T19:37:08.110Z,64956.22210985856,8825,true
12013,2024-07-29T10:26:23.951Z,55716.721921548524,1102,true
19102,2023-08-16T01:56:51.620Z,54023.622874018365,7357,true
82884,2024-12-10T15:18:00.703Z,62771.28601240333,9775,true
88340,2024-03-06T00:20:09.978Z,97319.82196636696,1699,true
63482,2024-05-31T18:56:59.891Z,95239.62767650647,8586,true
